Institution,CatalogNo,Long,Lat,Genus,Species,Mass.g
MSB,26715,-104.7907666667,32.0359833333,Picoides,villosus,51.4
MSB,26316,-106.3991333333,34.6668333333,Picoides,villosus,55.4
MVZ,29692,-120.6973,35.723588,Picoides,villosus,61.8
MVZ,39779,-131.9167,57.1833,Picoides,villosus,78
MVZ,46225,-115.45,30.88333,Picoides,villosus,52
MVZ,65799,-115.43306,41.87417,Picoides,villosus,55
MVZ,79657,-114.223289,46.750939,Picoides,villosus,68.3
MVZ,115418,-92.6813888888,16.7777777777,Picoides,villosus,46.1
MVZ,125829,-105.822524,36.058436,Picoides,villosus,60.3
MVZ,139458,-106.81667,29.44306,Picoides,villosus,49.8
MVZ,25892,-119.881282,37.588966,Picoides,villosus,58.3
MVZ,29130,-117.3337847,34.5994126,Picoides,villosus,56
MVZ,31057,-121.420517,36.144555,Picoides,villosus,56.5
MVZ,45205,-121.7648069,40.3091119,Picoides,villosus,58.4
MVZ,54486,-119.04701,34.827853,Picoides,villosus,58.8
MVZ,63702,-118.49432,35.4277106,Picoides,villosus,67
MVZ,65794,-115.43306,41.87417,Picoides,villosus,66
MVZ,65797,-115.43306,41.87417,Picoides,villosus,64.5
MVZ,87475,-123.4568,40.45807,Picoides,villosus,66.5
MVZ,150313,-114.45813,37.45917,Picoides,villosus,56.9
MVZ,150321,-115.69417,36.31573,Picoides,villosus,53.4
KU,59392,-99.2464304,37.327426,Picoides,villosus,69.7
KU,105016,-68.172367,44.83763,Picoides,villosus,78
MVZ,180536,-123.75047000000001,39.35739,Picoides,villosus,61
MVZ,182077,-118.67374,38.40036,Picoides,villosus,62.5
UMMZ,101297,-83.7391662,45.9914917,Picoides,villosus,70.5
UMMZ,66688,-84.5416374,42.3730907,Picoides,villosus,69
UMMZ,73184,-84.5401382,45.1778018,Picoides,villosus,64
UMMZ,96698,-85.499382,45.6742827,Picoides,villosus,67.7
UMMZ,96699,-85.499382,45.6742827,Picoides,villosus,61.5
UMMZ,96700,-85.5155182,45.6742827,Picoides,villosus,65
UMMZ,101295,-83.7609672,46.0547093,Picoides,villosus,68.2
UMMZ,240411,-88.7726212,46.181019,Picoides,villosus,66
UMMZ,74505,-84.3015289,44.7111221,Picoides,villosus,61.7
UMMZ,86960,-103.8914125,44.4414529,Picoides,villosus,62.7
WFVZ,29397,-116.5451531,33.5278746,Picoides,villosus,58
MSB,26868,-107.48735,33.7879666667,Picoides,villosus,50.9
MVZ,117220,-120.33745,35.575920000000004,Picoides,villosus,51.7
MVZ,63703,-118.49432,35.4277106,Picoides,villosus,55.9
KU,50605,-101.8081151,37.1131734,Picoides,villosus,64.7
UMMZ,107854,-119.9709197,48.9284861,Picoides,villosus,67.8
UMMZ,236254,-83.7263412,42.2708397,Picoides,villosus,52.6
MVZ,80127,-117.14833,36.96528,Picoides,villosus,55.4
MVZ,27896,-118.175135,37.604022,Picoides,villosus,52
MSB,29251,-107.70395,32.9438,Picoides,villosus,52.2
MSB,39737,-105.5556333333,35.7686166667,Picoides,villosus,65.3
MVZ,187438,-90.273532,15.613624,Picoides,villosus,19
MVZ,119430,-108.4167461155,30.0146438844,Picoides,villosus,51.1
MVZ,121057,-92.5733333333,16.6744444444,Picoides,villosus,45.6
MVZ,124645,-122.1128861,40.8288238,Picoides,villosus,60.1
MVZ,124737,-110.3958,33.6181,Picoides,villosus,53.7
MVZ,125322,-70.2103,44.5867,Picoides,villosus,65
MVZ,132263,-118.099737,37.432159,Picoides,villosus,59.5
MVZ,133157,-115.36343,41.86105,Picoides,villosus,66.1
MVZ,142894,-102.128132,19.50822,Picoides,villosus,44.9
MVZ,152579,-120.289512,41.9885085,Picoides,villosus,64
MVZ,156194,-115.1046,48.4844,Picoides,villosus,67.6
MVZ,161955,-83.85,9.98333,Picoides,villosus,37.7
MVZ,25021,-119.598212,37.736686,Picoides,villosus,63.2
MVZ,30329,-121.83944,36.609496,Picoides,villosus,60.2
MVZ,39766,-131.1667,57.9578,Picoides,villosus,88.2
MVZ,39768,-131.1833,57.9167,Picoides,villosus,73.5
MVZ,40896,-122.0691039,41.5779164,Picoides,villosus,58
MVZ,41925,-119.80778,38.76723,Picoides,villosus,60.7
MVZ,42098,-127.6667,55.25,Picoides,villosus,74.5
MVZ,44380,-120.7895831,40.6709426,Picoides,villosus,64.5
MVZ,46231,-115.45,30.88333,Picoides,villosus,46.7
MVZ,46232,-115.45,30.88333,Picoides,villosus,53.6
MVZ,47244,-115.45,30.88333,Picoides,villosus,49.6
MVZ,47952,-115.526687,31.029931,Picoides,villosus,53
MVZ,48445,-121.567023,40.5342838,Picoides,villosus,66.8
MVZ,51742,-121.9420806,40.3303351,Picoides,villosus,53.1
MVZ,61363,-115.5652,44.6542,Picoides,villosus,68.2
MVZ,62920,-123.7317033,40.8748542,Picoides,villosus,60
MVZ,63179,-113.1458,36.4022,Picoides,villosus,56
MVZ,67831,-123.625462,41.9955479,Picoides,villosus,65.7
MVZ,69438,-119.33083,40.7844,Picoides,villosus,62.2
MVZ,71846,-121.3146,43.7203,Picoides,villosus,62
MVZ,71849,-121.3146,43.7203,Picoides,villosus,65.5
MVZ,73504,-122.9107,44.2042,Picoides,villosus,65.7
MVZ,73508,-122.9107,44.2042,Picoides,villosus,62.2
MVZ,73531,-117.3669,45.2558,Picoides,villosus,64.7
