Genus,Species,Subspecies,Collection,Collection Name,Catalog,Locality,Locality2,Country,Sex,Age,Right.wing.chord,Tail.length,Culmen.length,Bill.depth..base.of.feathers.on.mandible.,Bill.width..base.of.feathers.on.maxilla.,Left.Tarsus,Notes / Existing Damage Precluding Measurements
Cinnyris,reichenowi,parvirostris,AMNH,American Museum of Natural History,688996,Moka,Bioko,Equatorial Guinea,Female,Adult,54,33,16.06,2.79,4.58,13.26,
Cinnyris,reichenowi,parvirostris,AMNH,American Museum of Natural History,688996,Moka,Bioko,Equatorial Guinea,Female,Adult,54,33,16.06,2.79,4.58,13.26,
Cinnyris,reichenowi,parvirostris,AMNH,American Museum of Natural History,688995,Moka,Bioko,Equatorial Guinea,Male,Adult,61,43,15.53,2.93,4.69,13.85,
Cinnyris,reichenowi,parvirostris,AMNH,American Museum of Natural History,688995,Moka,Bioko,Equatorial Guinea,Male,Adult,61,43,15.53,2.93,4.69,13.85,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415694,Nkongsamba,Mt Manengouba,Cameroon,Female,Adult,51,39,15.83,3.51,4.54,12.19,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415694,Nkongsamba,Mt Manengouba,Cameroon,Female,Adult,51,39,15.83,3.51,4.54,12.19,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415795,Dschang,Bamenda Highlands,Cameroon,Female,Adult,52,36,16.95,2.97,4.78,12.26,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415795,Dschang,Bamenda Highlands,Cameroon,Female,Adult,52,36,16.95,2.97,4.78,12.26,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415796,Bafang,Bamenda Highlands,Cameroon,Female,Adult,53,39,15.25,2.71,4.17,11.6,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415796,Bafang,Bamenda Highlands,Cameroon,Female,Adult,53,39,15.25,2.71,4.17,11.6,Right Leg
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,688999,Kumbo,Bamenda Highlands,Cameroon,Female,Adult,54,39,15.18,3.26,4.26,11.69,preussi based on location
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415792,Dschang,Bamenda Highlands,Cameroon,Male,Adult,57,45,15.96,2.9,4.33,13.8,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415792,Dschang,Bamenda Highlands,Cameroon,Male,Adult,57,45,15.96,2.9,4.33,13.8,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415793,Bafang,Bamenda Highlands,Cameroon,Male,Adult,55,45,16.52,2.64,4.66,12.31,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,415793,Bafang,Bamenda Highlands,Cameroon,Male,Adult,55,45,16.52,2.64,4.66,12.31,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,428564,Mt. Cameroon,Mt Cameroon,Cameroon,Male,Adult,59,44,18.56,3.23,5.47,13.64,
Cinnyris,reichenowi,preussi,AMNH,American Museum of Natural History,428564,Mt. Cameroon,Mt Cameroon,Cameroon,Male,Adult,59,44,18.56,3.23,5.47,13.64,
